Неделя,ДР,Имя сервера,Номер,Показатель,Myhome,Спутник
13,ДПР,РНД,"1,3.1",Количество соглашений БСУД (на начало),361,361
13,ДПР,РНД,"1,3,2",Количество абонентов ДМС (на начало),0,0
13,ДПР,РНД,"1,4",Потенциал М2 (на начало),1549,1549
13,ДПР,РНД,"2,1",Количество подъездов за период,1,0
13,ДПР,РНД,"2,2",Количество квартир в подъездах за период,99,0
13,ДПР,РНД,"2,3",Количество голосов ЗА в подъездах за период,87,0
13,ДПР,РНД,"2,4",Количество контактов в подъездах за период,85,0
13,ДПР,РНД,"3,1",ПЛАТНЫХ в подъездах за период,169,0
13,ДПР,РНД,"3,2",БЕСПЛАТНЫХ в подъездах за период,108,0
13,ДПР,РНД,"3,3",Выручка в подъездах за период,NULL,NULL
13,ДПР,РНД,"3,4",Всего ключей в подъездах за период,277,0
13,ДПР,РНД,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
13,ДПР,РНД,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
13,ДПР,РНД,"4,1",Соглашений БСУД в подъездах за период,25,0
13,ДПР,ПНЗ,"1,1",Количество подъездов М2 (на начало),371,0
13,ДПР,ПНЗ,"1,2",Количество квартир в подъездах М2 (на начало),15208,0
13,ДПР,ПНЗ,"1,3",Количество абонентов БСУД (на начало),527,0
13,ДПР,ПНЗ,"1,3.1",Количество соглашений БСУД (на начало),763,763
13,ДПР,ПНЗ,"1,3,2",Количество абонентов ДМС (на начало),603,603
13,ДПР,ПНЗ,"1,4",Потенциал М2 (на начало),957,957
13,ДПР,ПНЗ,"2,1",Количество подъездов за период,2,0
13,ДПР,ПНЗ,"2,2",Количество квартир в подъездах за период,72,0
13,ДПР,ПНЗ,"2,3",Количество голосов ЗА в подъездах за период,0,0
13,ДПР,ПНЗ,"2,4",Количество контактов в подъездах за период,54,0
13,ДПР,ПНЗ,"3,1",ПЛАТНЫХ в подъездах за период,123,0
13,ДПР,ПНЗ,"3,2",БЕСПЛАТНЫХ в подъездах за период,82,0
13,ДПР,ПНЗ,"3,3",Выручка в подъездах за период,NULL,NULL
13,ДПР,ПНЗ,"3,4",Всего ключей в подъездах за период,205,0
13,ДПР,ПНЗ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,3,0
13,ДПР,ПНЗ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,1,0
13,ДПР,ПНЗ,"4,1",Соглашений БСУД в подъездах за период,14,0
13,ДПР,СРТ,"1,1",Количество подъездов М2 (на начало),585,0
13,ДПР,СРТ,"1,2",Количество квартир в подъездах М2 (на начало),28600,0
13,ДПР,СРТ,"1,3",Количество абонентов БСУД (на начало),2202,0
13,ДПР,СРТ,"1,3.1",Количество соглашений БСУД (на начало),2367,2367
13,ДПР,СРТ,"1,3,2",Количество абонентов ДМС (на начало),1792,1792
13,ДПР,СРТ,"1,4",Потенциал М2 (на начало),2146,2146
13,ДПР,СРТ,"2,1",Количество подъездов за период,31,0
13,ДПР,СРТ,"2,2",Количество квартир в подъездах за период,1225,0
13,ДПР,СРТ,"2,3",Количество голосов ЗА в подъездах за период,1049,0
13,ДПР,СРТ,"2,4",Количество контактов в подъездах за период,1091,0
13,ДПР,СРТ,"3,1",ПЛАТНЫХ в подъездах за период,2288,0
13,ДПР,СРТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,1179,0
13,ДПР,СРТ,"3,3",Выручка в подъездах за период,NULL,NULL
13,ДПР,СРТ,"3,4",Всего ключей в подъездах за период,3467,0
13,ДПР,СРТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,70,0
13,ДПР,СРТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,35,0
13,ДПР,СРТ,"4,1",Соглашений БСУД в подъездах за период,434,0
13,ДПР,ТЛТ,"1,1",Количество подъездов М2 (на начало),0,0
13,ДПР,ТЛТ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
13,ДПР,ТЛТ,"1,3",Количество абонентов БСУД (на начало),0,0
13,ДПР,ТЛТ,"1,3.1",Количество соглашений БСУД (на начало),0,0
13,ДПР,ТЛТ,"1,3,2",Количество абонентов ДМС (на начало),0,0
13,ДПР,ТЛТ,"1,4",Потенциал М2 (на начало),2533,2533
13,ДПР,ТЛТ,"2,1",Количество подъездов за период,0,0
13,ДПР,ТЛТ,"2,2",Количество квартир в подъездах за период,0,0
13,ДПР,ТЛТ,"2,3",Количество голосов ЗА в подъездах за период,0,0
13,ДПР,ТЛТ,"2,4",Количество контактов в подъездах за период,0,0
13,ДПР,ТЛТ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
13,ДПР,ТЛТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
13,ДПР,ТЛТ,"3,3",Выручка в подъездах за период,NULL,NULL
13,ДПР,ТЛТ,"3,4",Всего ключей в подъездах за период,0,0
13,ДПР,ТЛТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
13,ДПР,ТЛТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
13,ДПР,ТЛТ,"4,1",Соглашений БСУД в подъездах за период,0,0
14,ДПР,ТЛТ,"1,1",Количество подъездов М2 (на начало),0,0
14,ДПР,ТЛТ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
14,ДПР,ТЛТ,"1,3",Количество абонентов БСУД (на начало),0,0
14,ДПР,ТЛТ,"1,3.1",Количество соглашений БСУД (на начало),0,0
14,ДПР,ТЛТ,"1,3,2",Количество абонентов ДМС (на начало),0,0
14,ДПР,ТЛТ,"1,4",Потенциал М2 (на начало),2533,2533
14,ДПР,ТЛТ,"2,1",Количество подъездов за период,0,0
14,ДПР,ТЛТ,"2,2",Количество квартир в подъездах за период,0,0
14,ДПР,ТЛТ,"2,3",Количество голосов ЗА в подъездах за период,0,0
14,ДПР,ТЛТ,"2,4",Количество контактов в подъездах за период,0,0
14,ДПР,ТЛТ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
14,ДПР,ТЛТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
14,ДПР,ТЛТ,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДПР,ТЛТ,"3,4",Всего ключей в подъездах за период,0,0
14,ДПР,ТЛТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
14,ДПР,ТЛТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
14,ДПР,ТЛТ,"4,1",Соглашений БСУД в подъездах за период,0,0
14,ДПР,НФТ,"1,1",Количество подъездов М2 (на начало),0,146
14,ДПР,НФТ,"1,2",Количество квартир в подъездах М2 (на начало),0,4124
14,ДПР,НФТ,"1,3",Количество абонентов БСУД (на начало),0,0
14,ДПР,НФТ,"1,3.1",Количество соглашений БСУД (на начало),0,0
14,ДПР,НФТ,"1,3,2",Количество абонентов ДМС (на начало),0,0
14,ДПР,НФТ,"1,4",Потенциал М2 (на начало),349,349
14,ДПР,НФТ,"2,1",Количество подъездов за период,0,0
14,ДПР,НФТ,"2,2",Количество квартир в подъездах за период,0,0
14,ДПР,НФТ,"2,3",Количество голосов ЗА в подъездах за период,0,0
14,ДПР,НФТ,"2,4",Количество контактов в подъездах за период,0,0
14,ДПР,НФТ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
14,ДПР,НФТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
14,ДПР,НФТ,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДПР,НФТ,"3,4",Всего ключей в подъездах за период,0,0
14,ДПР,НФТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
14,ДПР,НФТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
14,ДПР,НФТ,"4,1",Соглашений БСУД в подъездах за период,0,0
14,ДПР,СРН,"1,1",Количество подъездов М2 (на начало),0,0
14,ДПР,СРН,"1,2",Количество квартир в подъездах М2 (на начало),0,0
14,ДПР,СРН,"1,3",Количество абонентов БСУД (на начало),0,0
14,ДПР,СРН,"1,3.1",Количество соглашений БСУД (на начало),0,0
14,ДПР,СРН,"1,3,2",Количество абонентов ДМС (на начало),0,0
14,ДПР,СРН,"1,4",Потенциал М2 (на начало),718,718
14,ДПР,СРН,"2,1",Количество подъездов за период,0,0
14,ДПР,СРН,"2,2",Количество квартир в подъездах за период,0,0
14,ДПР,СРН,"2,3",Количество голосов ЗА в подъездах за период,0,0
14,ДПР,СРН,"2,4",Количество контактов в подъездах за период,0,0
14,ДПР,СРН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
14,ДПР,СРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
14,ДПР,СРН,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДПР,СРН,"3,4",Всего ключей в подъездах за период,0,0
14,ДПР,СРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
14,ДПР,СРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
14,ДПР,СРН,"4,1",Соглашений БСУД в подъездах за период,0,0
14,ДПР,ОРН,"1,1",Количество подъездов М2 (на начало),311,0
14,ДПР,ОРН,"1,2",Количество квартир в подъездах М2 (на начало),14590,0
14,ДПР,ОРН,"1,3",Количество абонентов БСУД (на начало),205,0
14,ДПР,ОРН,"1,3.1",Количество соглашений БСУД (на начало),271,271
14,ДПР,ОРН,"1,3,2",Количество абонентов ДМС (на начало),436,436
14,ДПР,ОРН,"1,4",Потенциал М2 (на начало),1235,1235
14,ДПР,ОРН,"2,1",Количество подъездов за период,3,0
14,ДПР,ОРН,"2,2",Количество квартир в подъездах за период,107,0
14,ДПР,ОРН,"2,3",Количество голосов ЗА в подъездах за период,0,0
14,ДПР,ОРН,"2,4",Количество контактов в подъездах за период,0,0
14,ДПР,ОРН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
14,ДПР,ОРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
14,ДПР,ОРН,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДПР,ОРН,"3,4",Всего ключей в подъездах за период,0,0
14,ДПР,ОРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,3,0
14,ДПР,ОРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
14,ДПР,ОРН,"4,1",Соглашений БСУД в подъездах за период,0,0
14,ДПР,СМР,"1,1",Количество подъездов М2 (на начало),457,0
14,ДПР,СМР,"1,2",Количество квартир в подъездах М2 (на начало),23515,0
14,ДПР,СМР,"1,3",Количество абонентов БСУД (на начало),1387,0
14,ДПР,СМР,"1,3.1",Количество соглашений БСУД (на начало),1478,1478
14,ДПР,СМР,"1,3,2",Количество абонентов ДМС (на начало),1228,1228
14,ДПР,СМР,"1,4",Потенциал М2 (на начало),2141,2141
14,ДПР,СМР,"2,1",Количество подъездов за период,4,0
14,ДПР,СМР,"2,2",Количество квартир в подъездах за период,208,0
14,ДПР,СМР,"2,3",Количество голосов ЗА в подъездах за период,173,0
14,ДПР,СМР,"2,4",Количество контактов в подъездах за период,134,0
14,ДПР,СМР,"3,1",ПЛАТНЫХ в подъездах за период,287,0
14,ДПР,СМР,"3,2",БЕСПЛАТНЫХ в подъездах за период,163,0
14,ДПР,СМР,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДПР,СМР,"3,4",Всего ключей в подъездах за период,450,0
14,ДПР,СМР,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,6,0
14,ДПР,СМР,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,2,0
14,ДПР,СМР,"4,1",Соглашений БСУД в подъездах за период,43,0
14,ДПР,ИЖВ,"1,1",Количество подъездов М2 (на начало),306,0
14,ДПР,ИЖВ,"1,2",Количество квартир в подъездах М2 (на начало),11555,0
14,ДПР,ИЖВ,"1,3",Количество абонентов БСУД (на начало),468,0
14,ДПР,ИЖВ,"1,3.1",Количество соглашений БСУД (на начало),452,452
14,ДПР,ИЖВ,"1,3,2",Количество абонентов ДМС (на начало),470,470
14,ДПР,ИЖВ,"1,4",Потенциал М2 (на начало),977,977
14,ДПР,ИЖВ,"2,1",Количество подъездов за период,5,0
14,ДПР,ИЖВ,"2,2",Количество квартир в подъездах за период,178,0
14,ДПР,ИЖВ,"2,3",Количество голосов ЗА в подъездах за период,121,0
14,ДПР,ИЖВ,"2,4",Количество контактов в подъездах за период,117,0
14,ДПР,ИЖВ,"3,1",ПЛАТНЫХ в подъездах за период,232,0
14,ДПР,ИЖВ,"3,2",БЕСПЛАТНЫХ в подъездах за период,176,0
14,ДПР,ИЖВ,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДПР,ИЖВ,"3,4",Всего ключей в подъездах за период,408,0
14,ДПР,ИЖВ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,8,0
14,ДПР,ИЖВ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
14,ДПР,ИЖВ,"4,1",Соглашений БСУД в подъездах за период,14,0
14,ДПР,РНД,"1,1",Количество подъездов М2 (на начало),13,0
14,ДПР,РНД,"1,2",Количество квартир в подъездах М2 (на начало),660,0
14,ДПР,РНД,"1,3",Количество абонентов БСУД (на начало),293,0
14,ДПР,РНД,"1,3.1",Количество соглашений БСУД (на начало),406,406
14,ДПР,РНД,"1,3,2",Количество абонентов ДМС (на начало),0,0
14,ДПР,РНД,"1,4",Потенциал М2 (на начало),1549,1549
14,ДПР,РНД,"2,1",Количество подъездов за период,9,0
14,ДПР,РНД,"2,2",Количество квартир в подъездах за период,347,0
14,ДПР,РНД,"2,3",Количество голосов ЗА в подъездах за период,302,0
14,ДПР,РНД,"2,4",Количество контактов в подъездах за период,313,0
14,ДПР,РНД,"3,1",ПЛАТНЫХ в подъездах за период,681,0
14,ДПР,РНД,"3,2",БЕСПЛАТНЫХ в подъездах за период,389,0
14,ДПР,РНД,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДПР,РНД,"3,4",Всего ключей в подъездах за период,1070,0
14,ДПР,РНД,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
14,ДПР,РНД,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
14,ДПР,РНД,"4,1",Соглашений БСУД в подъездах за период,98,0
14,ДПР,ПНЗ,"1,1",Количество подъездов М2 (на начало),373,0
14,ДПР,ПНЗ,"1,2",Количество квартир в подъездах М2 (на начало),15280,0
14,ДПР,ПНЗ,"1,3",Количество абонентов БСУД (на начало),572,0
14,ДПР,ПНЗ,"1,3.1",Количество соглашений БСУД (на начало),812,812
14,ДПР,ПНЗ,"1,3,2",Количество абонентов ДМС (на начало),603,603
14,ДПР,ПНЗ,"1,4",Потенциал М2 (на начало),957,957
14,ДПР,ПНЗ,"2,1",Количество подъездов за период,10,0
14,ДПР,ПНЗ,"2,2",Количество квартир в подъездах за период,364,0
14,ДПР,ПНЗ,"2,3",Количество голосов ЗА в подъездах за период,0,0
14,ДПР,ПНЗ,"2,4",Количество контактов в подъездах за период,223,0
14,ДПР,ПНЗ,"3,1",ПЛАТНЫХ в подъездах за период,592,0
14,ДПР,ПНЗ,"3,2",БЕСПЛАТНЫХ в подъездах за период,386,0
14,ДПР,ПНЗ,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДПР,ПНЗ,"3,4",Всего ключей в подъездах за период,978,0
14,ДПР,ПНЗ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,16,0
14,ДПР,ПНЗ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,6,0
14,ДПР,ПНЗ,"4,1",Соглашений БСУД в подъездах за период,81,0
14,ДПР,СРТ,"1,1",Количество подъездов М2 (на начало),616,0
14,ДПР,СРТ,"1,2",Количество квартир в подъездах М2 (на начало),29825,0
14,ДПР,СРТ,"1,3",Количество абонентов БСУД (на начало),2710,0
14,ДПР,СРТ,"1,3.1",Количество соглашений БСУД (на начало),2940,2940
14,ДПР,СРТ,"1,3,2",Количество абонентов ДМС (на начало),1792,1792
14,ДПР,СРТ,"1,4",Потенциал М2 (на начало),2146,2146
14,ДПР,СРТ,"2,1",Количество подъездов за период,34,0
14,ДПР,СРТ,"2,2",Количество квартир в подъездах за период,1294,0
14,ДПР,СРТ,"2,3",Количество голосов ЗА в подъездах за период,1141,0
14,ДПР,СРТ,"2,4",Количество контактов в подъездах за период,1204,0
14,ДПР,СРТ,"3,1",ПЛАТНЫХ в подъездах за период,2373,0
14,ДПР,СРТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,1210,0
14,ДПР,СРТ,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДПР,СРТ,"3,4",Всего ключей в подъездах за период,3583,0
14,ДПР,СРТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,67,0
14,ДПР,СРТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,50,0
14,ДПР,СРТ,"4,1",Соглашений БСУД в подъездах за период,424,0
14,ДВР,КМР,"1,1",Количество подъездов М2 (на начало),0,64
14,ДВР,КМР,"1,2",Количество квартир в подъездах М2 (на начало),0,2633
14,ДВР,КМР,"1,3",Количество абонентов БСУД (на начало),0,0
14,ДВР,КМР,"1,3.1",Количество соглашений БСУД (на начало),0,0
14,ДВР,КМР,"1,3,2",Количество абонентов ДМС (на начало),0,0
14,ДВР,КМР,"1,4",Потенциал М2 (на начало),628,628
14,ДВР,КМР,"2,1",Количество подъездов за период,0,0
14,ДВР,КМР,"2,2",Количество квартир в подъездах за период,0,0
14,ДВР,КМР,"2,3",Количество голосов ЗА в подъездах за период,0,0
14,ДВР,КМР,"2,4",Количество контактов в подъездах за период,0,0
14,ДВР,КМР,"3,1",ПЛАТНЫХ в подъездах за период,0,0
14,ДВР,КМР,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
14,ДВР,КМР,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДВР,КМР,"3,4",Всего ключей в подъездах за период,0,0
14,ДВР,КМР,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
14,ДВР,КМР,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
14,ДВР,КМР,"4,1",Соглашений БСУД в подъездах за период,0,0
14,ДВР,НВС,"1,1",Количество подъездов М2 (на начало),0,0
14,ДВР,НВС,"1,2",Количество квартир в подъездах М2 (на начало),0,0
14,ДВР,НВС,"1,3",Количество абонентов БСУД (на начало),0,0
14,ДВР,НВС,"1,3.1",Количество соглашений БСУД (на начало),0,0
14,ДВР,НВС,"1,3,2",Количество абонентов ДМС (на начало),0,0
14,ДВР,НВС,"1,4",Потенциал М2 (на начало),1824,1824
14,ДВР,НВС,"2,1",Количество подъездов за период,0,0
14,ДВР,НВС,"2,2",Количество квартир в подъездах за период,0,0
14,ДВР,НВС,"2,3",Количество голосов ЗА в подъездах за период,0,0
14,ДВР,НВС,"2,4",Количество контактов в подъездах за период,0,0
14,ДВР,НВС,"3,1",ПЛАТНЫХ в подъездах за период,0,0
14,ДВР,НВС,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
14,ДВР,НВС,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДВР,НВС,"3,4",Всего ключей в подъездах за период,0,0
14,ДВР,НВС,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
14,ДВР,НВС,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
14,ДВР,НВС,"4,1",Соглашений БСУД в подъездах за период,0,0
14,ДВР,ЕКТ,"1,1",Количество подъездов М2 (на начало),164,0
14,ДВР,ЕКТ,"1,2",Количество квартир в подъездах М2 (на начало),8510,0
14,ДВР,ЕКТ,"1,3",Количество абонентов БСУД (на начало),829,0
14,ДВР,ЕКТ,"1,3.1",Количество соглашений БСУД (на начало),1150,1150
14,ДВР,ЕКТ,"1,3,2",Количество абонентов ДМС (на начало),578,578
14,ДВР,ЕКТ,"1,4",Потенциал М2 (на начало),249,249
14,ДВР,ЕКТ,"2,1",Количество подъездов за период,26,0
14,ДВР,ЕКТ,"2,2",Количество квартир в подъездах за период,1021,0
14,ДВР,ЕКТ,"2,3",Количество голосов ЗА в подъездах за период,441,0
14,ДВР,ЕКТ,"2,4",Количество контактов в подъездах за период,639,0
14,ДВР,ЕКТ,"3,1",ПЛАТНЫХ в подъездах за период,1569,0
14,ДВР,ЕКТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,856,0
14,ДВР,ЕКТ,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДВР,ЕКТ,"3,4",Всего ключей в подъездах за период,2425,0
14,ДВР,ЕКТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
14,ДВР,ЕКТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
14,ДВР,ЕКТ,"4,1",Соглашений БСУД в подъездах за период,305,0
14,ДВР,ЧЛБ,"1,1",Количество подъездов М2 (на начало),424,7
14,ДВР,ЧЛБ,"1,2",Количество квартир в подъездах М2 (на начало),17701,248
14,ДВР,ЧЛБ,"1,3",Количество абонентов БСУД (на начало),0,0
14,ДВР,ЧЛБ,"1,3.1",Количество соглашений БСУД (на начало),0,0
14,ДВР,ЧЛБ,"1,3,2",Количество абонентов ДМС (на начало),0,0
14,ДВР,ЧЛБ,"1,4",Потенциал М2 (на начало),163,163
14,ДВР,ЧЛБ,"2,1",Количество подъездов за период,1,0
14,ДВР,ЧЛБ,"2,2",Количество квартир в подъездах за период,31,0
14,ДВР,ЧЛБ,"2,3",Количество голосов ЗА в подъездах за период,25,0
14,ДВР,ЧЛБ,"2,4",Количество контактов в подъездах за период,25,0
14,ДВР,ЧЛБ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
14,ДВР,ЧЛБ,"3,2",БЕСПЛАТНЫХ в подъездах за период,41,0
14,ДВР,ЧЛБ,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДВР,ЧЛБ,"3,4",Всего ключей в подъездах за период,41,0
14,ДВР,ЧЛБ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
14,ДВР,ЧЛБ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,6,0
14,ДВР,ЧЛБ,"4,1",Соглашений БСУД в подъездах за период,0,0
14,ДВР,НВК,"1,1",Количество подъездов М2 (на начало),3,4
14,ДВР,НВК,"1,2",Количество квартир в подъездах М2 (на начало),108,153
14,ДВР,НВК,"1,3",Количество абонентов БСУД (на начало),0,17
14,ДВР,НВК,"1,3.1",Количество соглашений БСУД (на начало),17,17
14,ДВР,НВК,"1,3,2",Количество абонентов ДМС (на начало),0,0
14,ДВР,НВК,"1,4",Потенциал М2 (на начало),1047,1047
14,ДВР,НВК,"2,1",Количество подъездов за период,0,0
14,ДВР,НВК,"2,2",Количество квартир в подъездах за период,0,0
14,ДВР,НВК,"2,3",Количество голосов ЗА в подъездах за период,0,0
14,ДВР,НВК,"2,4",Количество контактов в подъездах за период,0,0
14,ДВР,НВК,"3,1",ПЛАТНЫХ в подъездах за период,0,0
14,ДВР,НВК,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
14,ДВР,НВК,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДВР,НВК,"3,4",Всего ключей в подъездах за период,0,0
14,ДВР,НВК,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
14,ДВР,НВК,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
14,ДВР,НВК,"4,1",Соглашений БСУД в подъездах за период,0,0
14,ДЦР,ОДЦ,"1,1",Количество подъездов М2 (на начало),0,5
14,ДЦР,ОДЦ,"1,2",Количество квартир в подъездах М2 (на начало),0,163
14,ДЦР,ОДЦ,"1,3",Количество абонентов БСУД (на начало),0,0
14,ДЦР,ОДЦ,"1,3.1",Количество соглашений БСУД (на начало),0,0
14,ДЦР,ОДЦ,"1,3,2",Количество абонентов ДМС (на начало),0,0
14,ДЦР,ОДЦ,"1,4",Потенциал М2 (на начало),394,394
14,ДЦР,ОДЦ,"2,1",Количество подъездов за период,0,0
14,ДЦР,ОДЦ,"2,2",Количество квартир в подъездах за период,0,0
14,ДЦР,ОДЦ,"2,3",Количество голосов ЗА в подъездах за период,0,0
14,ДЦР,ОДЦ,"2,4",Количество контактов в подъездах за период,0,0
14,ДЦР,ОДЦ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
14,ДЦР,ОДЦ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
14,ДЦР,ОДЦ,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДЦР,ОДЦ,"3,4",Всего ключей в подъездах за период,0,0
14,ДЦР,ОДЦ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
14,ДЦР,ОДЦ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
14,ДЦР,ОДЦ,"4,1",Соглашений БСУД в подъездах за период,0,0
14,ДЦР,КЛН,"1,1",Количество подъездов М2 (на начало),0,1
14,ДЦР,КЛН,"1,2",Количество квартир в подъездах М2 (на начало),0,50
14,ДЦР,КЛН,"1,3",Количество абонентов БСУД (на начало),0,0
14,ДЦР,КЛН,"1,3.1",Количество соглашений БСУД (на начало),1,1
14,ДЦР,КЛН,"1,3,2",Количество абонентов ДМС (на начало),0,0
14,ДЦР,КЛН,"1,4",Потенциал М2 (на начало),832,832
14,ДЦР,КЛН,"2,1",Количество подъездов за период,0,0
14,ДЦР,КЛН,"2,2",Количество квартир в подъездах за период,0,0
14,ДЦР,КЛН,"2,3",Количество голосов ЗА в подъездах за период,0,0
14,ДЦР,КЛН,"2,4",Количество контактов в подъездах за период,0,0
14,ДЦР,КЛН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
14,ДЦР,КЛН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
14,ДЦР,КЛН,"3,3",Выручка в подъездах за период,NULL,NULL
14,ДЦР,КЛН,"3,4",Всего ключей в подъездах за период,0,0
14,ДЦР,КЛН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
14,ДЦР,КЛН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
14,ДЦР,КЛН,"4,1",Соглашений БСУД в подъездах за период,0,0
14,ДЦР,КРС,"1,1",Количество подъездов М2 (на начало),106,0
14,ДЦР,КРС,"1,2",Количество квартир в подъездах М2 (на начало),4230,0
14,ДЦР,КРС,"1,3",Количество абонентов БСУД (на начало),420,0
14,ДЦР,КРС,"1,3.1",Количество соглашений БСУД (на начало),505,505
14,ДЦР,КРС,"1,3,2",Количество абонентов ДМС (на начало),0,0
14,ДЦР,КРС,"1,4",Потенциал М2 (на начало),1002,1002
14,ДЦР,КРС,"2,1",Количество подъездов за период,0,0
14,ДЦР,КРС,"2,2",Количество квартир в подъездах за период,0,0
14,ДЦР,КРС,"2,3",Количество голосов ЗА в подъездах за период,0,0
14,ДЦР,КРС,"2,4",Количество контактов в подъездах за период,0,0
14,ДЦР,КРС,"3,1",ПЛАТНЫХ в подъездах за период,0,0
