Неделя,ДР,Имя сервера,Номер,Показатель,Myhome,Спутник
12,ДВР,НВК,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДВР,НВК,"3,4",Всего ключей в подъездах за период,117,96
12,ДВР,НВК,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,2,18
12,ДВР,НВК,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДВР,НВК,"4,1",Соглашений БСУД в подъездах за период,0,7
12,ДПР,ТЛТ,"1,1",Количество подъездов М2 (на начало),0,0
12,ДПР,ТЛТ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
12,ДПР,ТЛТ,"1,3",Количество абонентов БСУД (на начало),0,0
12,ДПР,ТЛТ,"1,3.1",Количество соглашений БСУД (на начало),0,0
12,ДПР,ТЛТ,"1,3,2",Количество абонентов ДМС (на начало),0,0
12,ДПР,ТЛТ,"1,4",Потенциал М2 (на начало),2533,2533
12,ДПР,ТЛТ,"2,1",Количество подъездов за период,0,0
12,ДПР,ТЛТ,"2,2",Количество квартир в подъездах за период,0,0
12,ДПР,ТЛТ,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДПР,ТЛТ,"2,4",Количество контактов в подъездах за период,0,0
12,ДПР,ТЛТ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
12,ДПР,ТЛТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
12,ДПР,ТЛТ,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДПР,ТЛТ,"3,4",Всего ключей в подъездах за период,0,0
12,ДПР,ТЛТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
12,ДПР,ТЛТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДПР,ТЛТ,"4,1",Соглашений БСУД в подъездах за период,0,0
12,ДПР,НФТ,"1,1",Количество подъездов М2 (на начало),0,0
12,ДПР,НФТ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
12,ДПР,НФТ,"1,3",Количество абонентов БСУД (на начало),0,0
12,ДПР,НФТ,"1,3.1",Количество соглашений БСУД (на начало),0,0
12,ДПР,НФТ,"1,3,2",Количество абонентов ДМС (на начало),0,0
12,ДПР,НФТ,"1,4",Потенциал М2 (на начало),424,424
12,ДПР,НФТ,"2,1",Количество подъездов за период,0,0
12,ДПР,НФТ,"2,2",Количество квартир в подъездах за период,0,0
12,ДПР,НФТ,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДПР,НФТ,"2,4",Количество контактов в подъездах за период,0,0
12,ДПР,НФТ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
12,ДПР,НФТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
12,ДПР,НФТ,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДПР,НФТ,"3,4",Всего ключей в подъездах за период,0,0
12,ДПР,НФТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
12,ДПР,НФТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДПР,НФТ,"4,1",Соглашений БСУД в подъездах за период,0,0
12,ДПР,СРН,"1,1",Количество подъездов М2 (на начало),0,0
12,ДПР,СРН,"1,2",Количество квартир в подъездах М2 (на начало),0,0
12,ДПР,СРН,"1,3",Количество абонентов БСУД (на начало),0,0
12,ДПР,СРН,"1,3.1",Количество соглашений БСУД (на начало),0,0
12,ДПР,СРН,"1,3,2",Количество абонентов ДМС (на начало),0,0
12,ДПР,СРН,"1,4",Потенциал М2 (на начало),718,718
12,ДПР,СРН,"2,1",Количество подъездов за период,0,0
12,ДПР,СРН,"2,2",Количество квартир в подъездах за период,0,0
12,ДПР,СРН,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДПР,СРН,"2,4",Количество контактов в подъездах за период,0,0
12,ДПР,СРН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
12,ДПР,СРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
12,ДПР,СРН,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДПР,СРН,"3,4",Всего ключей в подъездах за период,0,0
12,ДПР,СРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
12,ДПР,СРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДПР,СРН,"4,1",Соглашений БСУД в подъездах за период,0,0
12,ДПР,ОРН,"1,1",Количество подъездов М2 (на начало),293,0
12,ДПР,ОРН,"1,2",Количество квартир в подъездах М2 (на начало),13897,0
12,ДПР,ОРН,"1,3",Количество абонентов БСУД (на начало),180,0
12,ДПР,ОРН,"1,3.1",Количество соглашений БСУД (на начало),261,261
12,ДПР,ОРН,"1,3,2",Количество абонентов ДМС (на начало),454,454
12,ДПР,ОРН,"1,4",Потенциал М2 (на начало),1237,1237
12,ДПР,ОРН,"2,1",Количество подъездов за период,0,0
12,ДПР,ОРН,"2,2",Количество квартир в подъездах за период,0,0
12,ДПР,ОРН,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДПР,ОРН,"2,4",Количество контактов в подъездах за период,0,0
12,ДПР,ОРН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
12,ДПР,ОРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
12,ДПР,ОРН,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДПР,ОРН,"3,4",Всего ключей в подъездах за период,0,0
12,ДПР,ОРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
12,ДПР,ОРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДПР,ОРН,"4,1",Соглашений БСУД в подъездах за период,0,0
12,ДПР,ИЖВ,"1,1",Количество подъездов М2 (на начало),271,0
12,ДПР,ИЖВ,"1,2",Количество квартир в подъездах М2 (на начало),10258,0
12,ДПР,ИЖВ,"1,3",Количество абонентов БСУД (на начало),355,0
12,ДПР,ИЖВ,"1,3.1",Количество соглашений БСУД (на начало),363,363
12,ДПР,ИЖВ,"1,3,2",Количество абонентов ДМС (на начало),473,473
12,ДПР,ИЖВ,"1,4",Потенциал М2 (на начало),980,980
