Месяц,ДР,Имя сервера,Номер,Показатель,Myhome,Спутник
1,ДЦР,АРХ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
1,ДЦР,АРХ,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДЦР,АРХ,"3,4",Всего ключей в подъездах за период,0,0
1,ДЦР,АРХ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
1,ДЦР,АРХ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДЦР,АРХ,"4,1",Соглашений БСУД в подъездах за период,0,0
1,ДЦР,СПБ,"1,1",Количество подъездов М2 (на начало),7,0
1,ДЦР,СПБ,"1,2",Количество квартир в подъездах М2 (на начало),259,0
1,ДЦР,СПБ,"1,3",Количество абонентов БСУД (на начало),0,0
1,ДЦР,СПБ,"1,3,1",Количество соглашений БСУД (на начало),0,0
1,ДЦР,СПБ,"1,3,2",Количество абонентов ДМС (на начало),6,6
1,ДЦР,СПБ,"1,4",Потенциал М2 (на начало),7299,7299
1,ДЦР,СПБ,"2,1",Количество подъездов за период,0,0
1,ДЦР,СПБ,"2,2",Количество квартир в подъездах за период,0,0
1,ДЦР,СПБ,"2,3",Количество голосов ЗА в подъездах за период,0,0
1,ДЦР,СПБ,"2,4",Количество контактов в подъездах за период,0,0
1,ДЦР,СПБ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
1,ДЦР,СПБ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
1,ДЦР,СПБ,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДЦР,СПБ,"3,4",Всего ключей в подъездах за период,0,0
1,ДЦР,СПБ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
1,ДЦР,СПБ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДЦР,СПБ,"4,1",Соглашений БСУД в подъездах за период,0,0
1,ДЦР,ННВ,"1,1",Количество подъездов М2 (на начало),318,0
1,ДЦР,ННВ,"1,2",Количество квартир в подъездах М2 (на начало),15056,0
1,ДЦР,ННВ,"1,3",Количество абонентов БСУД (на начало),13,0
1,ДЦР,ННВ,"1,3,1",Количество соглашений БСУД (на начало),0,0
1,ДЦР,ННВ,"1,3,2",Количество абонентов ДМС (на начало),937,937
1,ДЦР,ННВ,"1,4",Потенциал М2 (на начало),3473,3473
1,ДЦР,ННВ,"2,1",Количество подъездов за период,0,0
1,ДЦР,ННВ,"2,2",Количество квартир в подъездах за период,0,0
1,ДЦР,ННВ,"2,3",Количество голосов ЗА в подъездах за период,0,0
1,ДЦР,ННВ,"2,4",Количество контактов в подъездах за период,0,0
1,ДЦР,ННВ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
1,ДЦР,ННВ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
1,ДЦР,ННВ,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДЦР,ННВ,"3,4",Всего ключей в подъездах за период,0,0
1,ДЦР,ННВ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
1,ДЦР,ННВ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДЦР,ННВ,"4,1",Соглашений БСУД в подъездах за период,0,0
1,ДВР,КМР,"1,1",Количество подъездов М2 (на начало),0,0
1,ДВР,КМР,"1,2",Количество квартир в подъездах М2 (на начало),0,0
1,ДВР,КМР,"1,3",Количество абонентов БСУД (на начало),0,0
1,ДВР,КМР,"1,3,1",Количество соглашений БСУД (на начало),0,0
1,ДВР,КМР,"1,3,2",Количество абонентов ДМС (на начало),0,0
1,ДВР,КМР,"1,4",Потенциал М2 (на начало),690,690
1,ДВР,КМР,"2,1",Количество подъездов за период,0,0
1,ДВР,КМР,"2,2",Количество квартир в подъездах за период,0,0
1,ДВР,КМР,"2,3",Количество голосов ЗА в подъездах за период,0,0
1,ДВР,КМР,"2,4",Количество контактов в подъездах за период,0,0
1,ДВР,КМР,"3,1",ПЛАТНЫХ в подъездах за период,0,0
1,ДВР,КМР,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
1,ДВР,КМР,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДВР,КМР,"3,4",Всего ключей в подъездах за период,0,0
1,ДВР,КМР,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
1,ДВР,КМР,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДВР,КМР,"4,1",Соглашений БСУД в подъездах за период,0,0
1,ДВР,НВС,"1,1",Количество подъездов М2 (на начало),0,0
1,ДВР,НВС,"1,2",Количество квартир в подъездах М2 (на начало),0,0
1,ДВР,НВС,"1,3",Количество абонентов БСУД (на начало),0,0
1,ДВР,НВС,"1,3,1",Количество соглашений БСУД (на начало),0,0
1,ДВР,НВС,"1,3,2",Количество абонентов ДМС (на начало),0,0
1,ДВР,НВС,"1,4",Потенциал М2 (на начало),1824,1824
1,ДВР,НВС,"2,1",Количество подъездов за период,0,0
1,ДВР,НВС,"2,2",Количество квартир в подъездах за период,0,0
1,ДВР,НВС,"2,3",Количество голосов ЗА в подъездах за период,0,0
1,ДВР,НВС,"2,4",Количество контактов в подъездах за период,0,0
1,ДВР,НВС,"3,1",ПЛАТНЫХ в подъездах за период,0,0
1,ДВР,НВС,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
1,ДВР,НВС,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДВР,НВС,"3,4",Всего ключей в подъездах за период,0,0
1,ДВР,НВС,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
1,ДВР,НВС,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДВР,НВС,"4,1",Соглашений БСУД в подъездах за период,0,0
1,ДВР,ЧЛБ,"1,1",Количество подъездов М2 (на начало),254,0
1,ДВР,ЧЛБ,"1,2",Количество квартир в подъездах М2 (на начало),10586,0
1,ДВР,ЧЛБ,"1,3",Количество абонентов БСУД (на начало),0,0
1,ДВР,ЧЛБ,"1,3,1",Количество соглашений БСУД (на начало),0,0
1,ДВР,ЧЛБ,"1,3,2",Количество абонентов ДМС (на начало),0,0
1,ДВР,ЧЛБ,"1,4",Потенциал М2 (на начало),171,171
1,ДВР,ЧЛБ,"2,1",Количество подъездов за период,58,0
1,ДВР,ЧЛБ,"2,2",Количество квартир в подъездах за период,2587,0
1,ДВР,ЧЛБ,"2,3",Количество голосов ЗА в подъездах за период,2113,0
1,ДВР,ЧЛБ,"2,4",Количество контактов в подъездах за период,1480,0
1,ДВР,ЧЛБ,"3,1",ПЛАТНЫХ в подъездах за период,236,0
1,ДВР,ЧЛБ,"3,2",БЕСПЛАТНЫХ в подъездах за период,4123,0
1,ДВР,ЧЛБ,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДВР,ЧЛБ,"3,4",Всего ключей в подъездах за период,4359,0
1,ДВР,ЧЛБ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,140,0
1,ДВР,ЧЛБ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,632,0
1,ДВР,ЧЛБ,"4,1",Соглашений БСУД в подъездах за период,0,0
1,ДВР,ЕКТ,"1,1",Количество подъездов М2 (на начало),110,0
1,ДВР,ЕКТ,"1,2",Количество квартир в подъездах М2 (на начало),6282,0
1,ДВР,ЕКТ,"1,3",Количество абонентов БСУД (на начало),81,0
1,ДВР,ЕКТ,"1,3,1",Количество соглашений БСУД (на начало),1,1
1,ДВР,ЕКТ,"1,3,2",Количество абонентов ДМС (на начало),582,582
1,ДВР,ЕКТ,"1,4",Потенциал М2 (на начало),251,251
1,ДВР,ЕКТ,"2,1",Количество подъездов за период,1,0
1,ДВР,ЕКТ,"2,2",Количество квартир в подъездах за период,36,0
1,ДВР,ЕКТ,"2,3",Количество голосов ЗА в подъездах за период,34,0
1,ДВР,ЕКТ,"2,4",Количество контактов в подъездах за период,25,0
1,ДВР,ЕКТ,"3,1",ПЛАТНЫХ в подъездах за период,66,0
1,ДВР,ЕКТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,40,0
1,ДВР,ЕКТ,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДВР,ЕКТ,"3,4",Всего ключей в подъездах за период,106,0
1,ДВР,ЕКТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,10,0
1,ДВР,ЕКТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДВР,ЕКТ,"4,1",Соглашений БСУД в подъездах за период,13,0
1,ДВР,НВК,"1,1",Количество подъездов М2 (на начало),0,0
1,ДВР,НВК,"1,2",Количество квартир в подъездах М2 (на начало),0,0
1,ДВР,НВК,"1,3",Количество абонентов БСУД (на начало),0,0
1,ДВР,НВК,"1,3,1",Количество соглашений БСУД (на начало),0,0
1,ДВР,НВК,"1,3,2",Количество абонентов ДМС (на начало),0,0
1,ДВР,НВК,"1,4",Потенциал М2 (на начало),1047,1047
1,ДВР,НВК,"2,1",Количество подъездов за период,0,0
1,ДВР,НВК,"2,2",Количество квартир в подъездах за период,0,0
1,ДВР,НВК,"2,3",Количество голосов ЗА в подъездах за период,0,0
