Месяц,ДР,Имя сервера,Номер,Показатель,Myhome,Спутник
1,ДПР,СРТ,"2,2",Количество квартир в подъездах за период,1818,0
1,ДПР,СРТ,"2,3",Количество голосов ЗА в подъездах за период,1539,0
1,ДПР,СРТ,"2,4",Количество контактов в подъездах за период,1568,0
1,ДПР,СРТ,"3,1",ПЛАТНЫХ в подъездах за период,2979,0
1,ДПР,СРТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,1669,0
1,ДПР,СРТ,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДПР,СРТ,"3,4",Всего ключей в подъездах за период,4648,0
1,ДПР,СРТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,329,0
1,ДПР,СРТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,157,0
1,ДПР,СРТ,"4,1",Соглашений БСУД в подъездах за период,598,0
2,ДЦР,ОДЦ,"1,1",Количество подъездов М2 (на начало),0,0
2,ДЦР,ОДЦ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
2,ДЦР,ОДЦ,"1,3",Количество абонентов БСУД (на начало),0,0
2,ДЦР,ОДЦ,"1,3,1",Количество соглашений БСУД (на начало),0,0
2,ДЦР,ОДЦ,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДЦР,ОДЦ,"1,4",Потенциал М2 (на начало),397,397
2,ДЦР,ОДЦ,"2,1",Количество подъездов за период,0,0
2,ДЦР,ОДЦ,"2,2",Количество квартир в подъездах за период,0,0
2,ДЦР,ОДЦ,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДЦР,ОДЦ,"2,4",Количество контактов в подъездах за период,0,0
2,ДЦР,ОДЦ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
2,ДЦР,ОДЦ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
2,ДЦР,ОДЦ,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДЦР,ОДЦ,"3,4",Всего ключей в подъездах за период,0,0
2,ДЦР,ОДЦ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
2,ДЦР,ОДЦ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
2,ДЦР,ОДЦ,"4,1",Соглашений БСУД в подъездах за период,0,0
2,ДПР,ТЛТ,"1,1",Количество подъездов М2 (на начало),0,0
2,ДПР,ТЛТ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
2,ДПР,ТЛТ,"1,3",Количество абонентов БСУД (на начало),0,0
2,ДПР,ТЛТ,"1,3,1",Количество соглашений БСУД (на начало),0,0
2,ДПР,ТЛТ,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДПР,ТЛТ,"1,4",Потенциал М2 (на начало),2533,2533
2,ДПР,ТЛТ,"2,1",Количество подъездов за период,0,0
2,ДПР,ТЛТ,"2,2",Количество квартир в подъездах за период,0,0
2,ДПР,ТЛТ,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДПР,ТЛТ,"2,4",Количество контактов в подъездах за период,0,0
2,ДПР,ТЛТ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
2,ДПР,ТЛТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
2,ДПР,ТЛТ,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДПР,ТЛТ,"3,4",Всего ключей в подъездах за период,0,0
2,ДПР,ТЛТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
2,ДПР,ТЛТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
2,ДПР,ТЛТ,"4,1",Соглашений БСУД в подъездах за период,0,0
2,ДПР,НФТ,"1,1",Количество подъездов М2 (на начало),0,0
2,ДПР,НФТ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
2,ДПР,НФТ,"1,3",Количество абонентов БСУД (на начало),0,0
2,ДПР,НФТ,"1,3,1",Количество соглашений БСУД (на начало),0,0
2,ДПР,НФТ,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДПР,НФТ,"1,4",Потенциал М2 (на начало),424,424
2,ДПР,НФТ,"2,1",Количество подъездов за период,0,0
2,ДПР,НФТ,"2,2",Количество квартир в подъездах за период,0,0
2,ДПР,НФТ,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДПР,НФТ,"2,4",Количество контактов в подъездах за период,0,0
2,ДПР,НФТ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
2,ДПР,НФТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
2,ДПР,НФТ,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДПР,НФТ,"3,4",Всего ключей в подъездах за период,0,0
2,ДПР,НФТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
2,ДПР,НФТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
2,ДПР,НФТ,"4,1",Соглашений БСУД в подъездах за период,0,0
2,ДВР,КМР,"1,1",Количество подъездов М2 (на начало),0,0
2,ДВР,КМР,"1,2",Количество квартир в подъездах М2 (на начало),0,0
2,ДВР,КМР,"1,3",Количество абонентов БСУД (на начало),0,0
2,ДВР,КМР,"1,3,1",Количество соглашений БСУД (на начало),0,0
2,ДВР,КМР,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДВР,КМР,"1,4",Потенциал М2 (на начало),690,690
2,ДВР,КМР,"2,1",Количество подъездов за период,0,1
2,ДВР,КМР,"2,2",Количество квартир в подъездах за период,0,48
2,ДВР,КМР,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДВР,КМР,"2,4",Количество контактов в подъездах за период,0,43
2,ДВР,КМР,"3,1",ПЛАТНЫХ в подъездах за период,0,56
2,ДВР,КМР,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,43
2,ДВР,КМР,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДВР,КМР,"3,4",Всего ключей в подъездах за период,0,99
2,ДВР,КМР,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,20
2,ДВР,КМР,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
2,ДВР,КМР,"4,1",Соглашений БСУД в подъездах за период,0,0
2,ДЦР,КЛН,"1,1",Количество подъездов М2 (на начало),0,0
2,ДЦР,КЛН,"1,2",Количество квартир в подъездах М2 (на начало),0,0
2,ДЦР,КЛН,"1,3",Количество абонентов БСУД (на начало),0,0
2,ДЦР,КЛН,"1,3,1",Количество соглашений БСУД (на начало),0,0
2,ДЦР,КЛН,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДЦР,КЛН,"1,4",Потенциал М2 (на начало),845,845
2,ДЦР,КЛН,"2,1",Количество подъездов за период,0,0
2,ДЦР,КЛН,"2,2",Количество квартир в подъездах за период,0,0
2,ДЦР,КЛН,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДЦР,КЛН,"2,4",Количество контактов в подъездах за период,0,0
2,ДЦР,КЛН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
2,ДЦР,КЛН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
2,ДЦР,КЛН,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДЦР,КЛН,"3,4",Всего ключей в подъездах за период,0,0
2,ДЦР,КЛН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
2,ДЦР,КЛН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
2,ДЦР,КЛН,"4,1",Соглашений БСУД в подъездах за период,0,0
2,ДВР,НВС,"1,1",Количество подъездов М2 (на начало),0,0
2,ДВР,НВС,"1,2",Количество квартир в подъездах М2 (на начало),0,0
2,ДВР,НВС,"1,3",Количество абонентов БСУД (на начало),0,0
2,ДВР,НВС,"1,3,1",Количество соглашений БСУД (на начало),0,0
2,ДВР,НВС,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДВР,НВС,"1,4",Потенциал М2 (на начало),1824,1824
2,ДВР,НВС,"2,1",Количество подъездов за период,0,0
2,ДВР,НВС,"2,2",Количество квартир в подъездах за период,0,0
2,ДВР,НВС,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДВР,НВС,"2,4",Количество контактов в подъездах за период,0,0
2,ДВР,НВС,"3,1",ПЛАТНЫХ в подъездах за период,0,0
2,ДВР,НВС,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
2,ДВР,НВС,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДВР,НВС,"3,4",Всего ключей в подъездах за период,0,0
2,ДВР,НВС,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
2,ДВР,НВС,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
2,ДВР,НВС,"4,1",Соглашений БСУД в подъездах за период,0,0
2,ДЦР,КРС,"1,1",Количество подъездов М2 (на начало),56,0
2,ДЦР,КРС,"1,2",Количество квартир в подъездах М2 (на начало),2312,0
2,ДЦР,КРС,"1,3",Количество абонентов БСУД (на начало),69,0
2,ДЦР,КРС,"1,3,1",Количество соглашений БСУД (на начало),25,25
2,ДЦР,КРС,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДЦР,КРС,"1,4",Потенциал М2 (на начало),1002,1002
2,ДЦР,КРС,"2,1",Количество подъездов за период,22,0
2,ДЦР,КРС,"2,2",Количество квартир в подъездах за период,799,0
2,ДЦР,КРС,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДЦР,КРС,"2,4",Количество контактов в подъездах за период,702,0
2,ДЦР,КРС,"3,1",ПЛАТНЫХ в подъездах за период,1533,0
2,ДЦР,КРС,"3,2",БЕСПЛАТНЫХ в подъездах за период,883,0
2,ДЦР,КРС,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДЦР,КРС,"3,4",Всего ключей в подъездах за период,2416,0
2,ДЦР,КРС,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,44,0
2,ДЦР,КРС,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
2,ДЦР,КРС,"4,1",Соглашений БСУД в подъездах за период,177,0
2,ДЦР,БРН,"1,1",Количество подъездов М2 (на начало),12,0
2,ДЦР,БРН,"1,2",Количество квартир в подъездах М2 (на начало),559,0
2,ДЦР,БРН,"1,3",Количество абонентов БСУД (на начало),142,0
2,ДЦР,БРН,"1,3,1",Количество соглашений БСУД (на начало),117,117
2,ДЦР,БРН,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДЦР,БРН,"1,4",Потенциал М2 (на начало),1205,1205
2,ДЦР,БРН,"2,1",Количество подъездов за период,9,0
2,ДЦР,БРН,"2,2",Количество квартир в подъездах за период,345,0
2,ДЦР,БРН,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДЦР,БРН,"2,4",Количество контактов в подъездах за период,0,0
2,ДЦР,БРН,"3,1",ПЛАТНЫХ в подъездах за период,263,0
2,ДЦР,БРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,262,0
2,ДЦР,БРН,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДЦР,БРН,"3,4",Всего ключей в подъездах за период,525,0
2,ДЦР,БРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,80,0
2,ДЦР,БРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,39,0
2,ДЦР,БРН,"4,1",Соглашений БСУД в подъездах за период,109,0
2,ДПР,СРН,"1,1",Количество подъездов М2 (на начало),0,0
2,ДПР,СРН,"1,2",Количество квартир в подъездах М2 (на начало),0,0
2,ДПР,СРН,"1,3",Количество абонентов БСУД (на начало),0,0
2,ДПР,СРН,"1,3,1",Количество соглашений БСУД (на начало),0,0
2,ДПР,СРН,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДПР,СРН,"1,4",Потенциал М2 (на начало),718,718
2,ДПР,СРН,"2,1",Количество подъездов за период,0,0
2,ДПР,СРН,"2,2",Количество квартир в подъездах за период,0,0
2,ДПР,СРН,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДПР,СРН,"2,4",Количество контактов в подъездах за период,0,0
2,ДПР,СРН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
2,ДПР,СРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
2,ДПР,СРН,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДПР,СРН,"3,4",Всего ключей в подъездах за период,0,0
2,ДПР,СРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
2,ДПР,СРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
2,ДПР,СРН,"4,1",Соглашений БСУД в подъездах за период,0,0
2,ДВР,ЧЛБ,"1,1",Количество подъездов М2 (на начало),312,0
2,ДВР,ЧЛБ,"1,2",Количество квартир в подъездах М2 (на начало),13173,0
2,ДВР,ЧЛБ,"1,3",Количество абонентов БСУД (на начало),0,0
2,ДВР,ЧЛБ,"1,3,1",Количество соглашений БСУД (на начало),0,0
2,ДВР,ЧЛБ,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДВР,ЧЛБ,"1,4",Потенциал М2 (на начало),171,171
2,ДВР,ЧЛБ,"2,1",Количество подъездов за период,118,0
2,ДВР,ЧЛБ,"2,2",Количество квартир в подъездах за период,4826,0
2,ДВР,ЧЛБ,"2,3",Количество голосов ЗА в подъездах за период,3806,0
2,ДВР,ЧЛБ,"2,4",Количество контактов в подъездах за период,3357,0
2,ДВР,ЧЛБ,"3,1",ПЛАТНЫХ в подъездах за период,686,0
2,ДВР,ЧЛБ,"3,2",БЕСПЛАТНЫХ в подъездах за период,7665,0
2,ДВР,ЧЛБ,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДВР,ЧЛБ,"3,4",Всего ключей в подъездах за период,8351,0
2,ДВР,ЧЛБ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,211,0
2,ДВР,ЧЛБ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,820,0
2,ДВР,ЧЛБ,"4,1",Соглашений БСУД в подъездах за период,0,0
2,ДВР,ЕКТ,"1,1",Количество подъездов М2 (на начало),111,0
2,ДВР,ЕКТ,"1,2",Количество квартир в подъездах М2 (на начало),6318,0
2,ДВР,ЕКТ,"1,3",Количество абонентов БСУД (на начало),267,0
2,ДВР,ЕКТ,"1,3,1",Количество соглашений БСУД (на начало),338,338
2,ДВР,ЕКТ,"1,3,2",Количество абонентов ДМС (на начало),582,582
2,ДВР,ЕКТ,"1,4",Потенциал М2 (на начало),250,250
2,ДВР,ЕКТ,"2,1",Количество подъездов за период,27,0
2,ДВР,ЕКТ,"2,2",Количество квартир в подъездах за период,1045,0
2,ДВР,ЕКТ,"2,3",Количество голосов ЗА в подъездах за период,409,0
2,ДВР,ЕКТ,"2,4",Количество контактов в подъездах за период,327,0
2,ДВР,ЕКТ,"3,1",ПЛАТНЫХ в подъездах за период,1314,0
2,ДВР,ЕКТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,968,0
2,ДВР,ЕКТ,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДВР,ЕКТ,"3,4",Всего ключей в подъездах за период,2282,0
2,ДВР,ЕКТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,139,0
2,ДВР,ЕКТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,26,0
2,ДВР,ЕКТ,"4,1",Соглашений БСУД в подъездах за период,20,0
2,ДПР,ОРН,"1,1",Количество подъездов М2 (на начало),277,0
2,ДПР,ОРН,"1,2",Количество квартир в подъездах М2 (на начало),13309,0
2,ДПР,ОРН,"1,3",Количество абонентов БСУД (на начало),143,0
2,ДПР,ОРН,"1,3,1",Количество соглашений БСУД (на начало),182,182
2,ДПР,ОРН,"1,3,2",Количество абонентов ДМС (на начало),454,454
2,ДПР,ОРН,"1,4",Потенциал М2 (на начало),1237,1237
2,ДПР,ОРН,"2,1",Количество подъездов за период,16,0
2,ДПР,ОРН,"2,2",Количество квартир в подъездах за период,588,0
2,ДПР,ОРН,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДПР,ОРН,"2,4",Количество контактов в подъездах за период,2,0
2,ДПР,ОРН,"3,1",ПЛАТНЫХ в подъездах за период,717,0
2,ДПР,ОРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,465,0
2,ДПР,ОРН,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДПР,ОРН,"3,4",Всего ключей в подъездах за период,1182,0
2,ДПР,ОРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,68,0
2,ДПР,ОРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,2,0
2,ДПР,ОРН,"4,1",Соглашений БСУД в подъездах за период,37,0
2,ДЦР,АРХ,"1,1",Количество подъездов М2 (на начало),0,0
2,ДЦР,АРХ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
2,ДЦР,АРХ,"1,3",Количество абонентов БСУД (на начало),0,0
2,ДЦР,АРХ,"1,3,1",Количество соглашений БСУД (на начало),0,0
2,ДЦР,АРХ,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДЦР,АРХ,"1,4",Потенциал М2 (на начало),1497,1497
2,ДЦР,АРХ,"2,1",Количество подъездов за период,0,0
2,ДЦР,АРХ,"2,2",Количество квартир в подъездах за период,0,0
2,ДЦР,АРХ,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДЦР,АРХ,"2,4",Количество контактов в подъездах за период,0,0
2,ДЦР,АРХ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
2,ДЦР,АРХ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
2,ДЦР,АРХ,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДЦР,АРХ,"3,4",Всего ключей в подъездах за период,0,0
2,ДЦР,АРХ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
2,ДЦР,АРХ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
2,ДЦР,АРХ,"4,1",Соглашений БСУД в подъездах за период,0,0
2,ДЦР,СПБ,"1,1",Количество подъездов М2 (на начало),7,0
2,ДЦР,СПБ,"1,2",Количество квартир в подъездах М2 (на начало),259,0
2,ДЦР,СПБ,"1,3",Количество абонентов БСУД (на начало),24,0
2,ДЦР,СПБ,"1,3,1",Количество соглашений БСУД (на начало),15,15
2,ДЦР,СПБ,"1,3,2",Количество абонентов ДМС (на начало),6,6
2,ДЦР,СПБ,"1,4",Потенциал М2 (на начало),7299,7299
2,ДЦР,СПБ,"2,1",Количество подъездов за период,13,0
2,ДЦР,СПБ,"2,2",Количество квартир в подъездах за период,454,0
2,ДЦР,СПБ,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДЦР,СПБ,"2,4",Количество контактов в подъездах за период,0,0
2,ДЦР,СПБ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
2,ДЦР,СПБ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
2,ДЦР,СПБ,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДЦР,СПБ,"3,4",Всего ключей в подъездах за период,0,0
2,ДЦР,СПБ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,28,0
2,ДЦР,СПБ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
2,ДЦР,СПБ,"4,1",Соглашений БСУД в подъездах за период,59,0
2,ДПР,ИЖВ,"1,1",Количество подъездов М2 (на начало),228,0
2,ДПР,ИЖВ,"1,2",Количество квартир в подъездах М2 (на начало),8657,0
2,ДПР,ИЖВ,"1,3",Количество абонентов БСУД (на начало),195,0
2,ДПР,ИЖВ,"1,3,1",Количество соглашений БСУД (на начало),151,151
2,ДПР,ИЖВ,"1,3,2",Количество абонентов ДМС (на начало),473,473
2,ДПР,ИЖВ,"1,4",Потенциал М2 (на начало),980,980
2,ДПР,ИЖВ,"2,1",Количество подъездов за период,43,0
2,ДПР,ИЖВ,"2,2",Количество квартир в подъездах за период,1601,0
2,ДПР,ИЖВ,"2,3",Количество голосов ЗА в подъездах за период,1207,0
2,ДПР,ИЖВ,"2,4",Количество контактов в подъездах за период,1080,0
2,ДПР,ИЖВ,"3,1",ПЛАТНЫХ в подъездах за период,2372,0
2,ДПР,ИЖВ,"3,2",БЕСПЛАТНЫХ в подъездах за период,1357,0
2,ДПР,ИЖВ,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДПР,ИЖВ,"3,4",Всего ключей в подъездах за период,3729,0
2,ДПР,ИЖВ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,565,0
2,ДПР,ИЖВ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,8,0
2,ДПР,ИЖВ,"4,1",Соглашений БСУД в подъездах за период,160,0
2,ДПР,СМР,"1,1",Количество подъездов М2 (на начало),354,0
2,ДПР,СМР,"1,2",Количество квартир в подъездах М2 (на начало),19565,0
2,ДПР,СМР,"1,3",Количество абонентов БСУД (на начало),411,0
2,ДПР,СМР,"1,3,1",Количество соглашений БСУД (на начало),337,337
2,ДПР,СМР,"1,3,2",Количество абонентов ДМС (на начало),1229,1229
2,ДПР,СМР,"1,4",Потенциал М2 (на начало),2143,2143
2,ДПР,СМР,"2,1",Количество подъездов за период,51,0
2,ДПР,СМР,"2,2",Количество квартир в подъездах за период,1884,0
2,ДПР,СМР,"2,3",Количество голосов ЗА в подъездах за период,1622,0
2,ДПР,СМР,"2,4",Количество контактов в подъездах за период,1653,0
2,ДПР,СМР,"3,1",ПЛАТНЫХ в подъездах за период,3969,0
2,ДПР,СМР,"3,2",БЕСПЛАТНЫХ в подъездах за период,1938,0
2,ДПР,СМР,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДПР,СМР,"3,4",Всего ключей в подъездах за период,5907,0
2,ДПР,СМР,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,153,0
2,ДПР,СМР,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,10,0
2,ДПР,СМР,"4,1",Соглашений БСУД в подъездах за период,395,0
2,ДПР,ПНЗ,"1,1",Количество подъездов М2 (на начало),320,0
2,ДПР,ПНЗ,"1,2",Количество квартир в подъездах М2 (на начало),13169,0
2,ДПР,ПНЗ,"1,3",Количество абонентов БСУД (на начало),247,0
2,ДПР,ПНЗ,"1,3,1",Количество соглашений БСУД (на начало),239,239
2,ДПР,ПНЗ,"1,3,2",Количество абонентов ДМС (на начало),603,603
2,ДПР,ПНЗ,"1,4",Потенциал М2 (на начало),965,965
2,ДПР,ПНЗ,"2,1",Количество подъездов за период,7,0
2,ДПР,ПНЗ,"2,2",Количество квартир в подъездах за период,312,0
2,ДПР,ПНЗ,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДПР,ПНЗ,"2,4",Количество контактов в подъездах за период,212,0
2,ДПР,ПНЗ,"3,1",ПЛАТНЫХ в подъездах за период,485,0
2,ДПР,ПНЗ,"3,2",БЕСПЛАТНЫХ в подъездах за период,324,0
2,ДПР,ПНЗ,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДПР,ПНЗ,"3,4",Всего ключей в подъездах за период,809,0
2,ДПР,ПНЗ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,38,0
2,ДПР,ПНЗ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,10,0
2,ДПР,ПНЗ,"4,1",Соглашений БСУД в подъездах за период,19,0
2,ДПР,РНД,"1,1",Количество подъездов М2 (на начало),11,0
2,ДПР,РНД,"1,2",Количество квартир в подъездах М2 (на начало),521,0
2,ДПР,РНД,"1,3",Количество абонентов БСУД (на начало),229,0
2,ДПР,РНД,"1,3,1",Количество соглашений БСУД (на начало),229,229
2,ДПР,РНД,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДПР,РНД,"1,4",Потенциал М2 (на начало),1549,1549
2,ДПР,РНД,"2,1",Количество подъездов за период,1,0
2,ДПР,РНД,"2,2",Количество квартир в подъездах за период,40,0
2,ДПР,РНД,"2,3",Количество голосов ЗА в подъездах за период,39,0
2,ДПР,РНД,"2,4",Количество контактов в подъездах за период,0,0
2,ДПР,РНД,"3,1",ПЛАТНЫХ в подъездах за период,0,0
2,ДПР,РНД,"3,2",БЕСПЛАТНЫХ в подъездах за период,7,0
2,ДПР,РНД,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДПР,РНД,"3,4",Всего ключей в подъездах за период,7,0
2,ДПР,РНД,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
2,ДПР,РНД,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
2,ДПР,РНД,"4,1",Соглашений БСУД в подъездах за период,10,0
2,ДПР,СРТ,"1,1",Количество подъездов М2 (на начало),506,0
2,ДПР,СРТ,"1,2",Количество квартир в подъездах М2 (на начало),24860,0
2,ДПР,СРТ,"1,3",Количество абонентов БСУД (на начало),804,0
2,ДПР,СРТ,"1,3,1",Количество соглашений БСУД (на начало),895,895
2,ДПР,СРТ,"1,3,2",Количество абонентов ДМС (на начало),1750,1750
2,ДПР,СРТ,"1,4",Потенциал М2 (на начало),2143,2143
2,ДПР,СРТ,"2,1",Количество подъездов за период,63,0
2,ДПР,СРТ,"2,2",Количество квартир в подъездах за период,2497,0
2,ДПР,СРТ,"2,3",Количество голосов ЗА в подъездах за период,2151,0
2,ДПР,СРТ,"2,4",Количество контактов в подъездах за период,2203,0
2,ДПР,СРТ,"3,1",ПЛАТНЫХ в подъездах за период,4565,0
2,ДПР,СРТ,"3,2",БЕСПЛАТНЫХ в подъездах за период,2317,0
2,ДПР,СРТ,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДПР,СРТ,"3,4",Всего ключей в подъездах за период,6882,0
2,ДПР,СРТ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,361,0
2,ДПР,СРТ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,158,0
2,ДПР,СРТ,"4,1",Соглашений БСУД в подъездах за период,798,0
2,ДВР,НВК,"1,1",Количество подъездов М2 (на начало),0,0
2,ДВР,НВК,"1,2",Количество квартир в подъездах М2 (на начало),0,0
2,ДВР,НВК,"1,3",Количество абонентов БСУД (на начало),0,0
2,ДВР,НВК,"1,3,1",Количество соглашений БСУД (на начало),0,0
2,ДВР,НВК,"1,3,2",Количество абонентов ДМС (на начало),0,0
2,ДВР,НВК,"1,4",Потенциал М2 (на начало),1047,1047
2,ДВР,НВК,"2,1",Количество подъездов за период,0,0
2,ДВР,НВК,"2,2",Количество квартир в подъездах за период,0,0
2,ДВР,НВК,"2,3",Количество голосов ЗА в подъездах за период,0,0
2,ДВР,НВК,"2,4",Количество контактов в подъездах за период,0,0
2,ДВР,НВК,"3,1",ПЛАТНЫХ в подъездах за период,0,0
2,ДВР,НВК,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
2,ДВР,НВК,"3,3",Выручка в подъездах за период,NULL,NULL
2,ДВР,НВК,"3,4",Всего ключей в подъездах за период,0,0
2,ДВР,НВК,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
